Age Group,Treatment,Area,Mean,IntDen,RawIntDen
2moM,Untreated,701.62,874,613215,53140696
2moM,Untreated,225.7,719,162278,14062908
2moM,Untreated,310.19,926.54,287405,24906288
2moM,Untreated,213.77,927.63,198298,17184366
2moM,Untreated,70.25,376.42,26445,2291667
2moM,Untreated,28.84,592.92,17098,1481709
2moM,Untreated,20.83,321.62,6699,580526
2moM,Untreated,105.12,370.17,38914,3372268
2moM,Untreated,35.59,1149.32,40902,3544512
2moM,Untreated,28.58,338.47,9675,838390
2moM,Untreated,111.15,430.05,47799,4142217
2moM,Untreated,21.76,247.27,5381,466352
2moM,Untreated,115.8,268.86,31133,2697995
2moM,Untreated,37.33,237.35,8860,767812
2moM,Untreated,30.42,562.97,17124,1483982
2moM,Untreated,34.62,358.52,12412,1075571
2moM,Untreated,26.09,301.85,7876,682491
2moM,Untreated,697.6,827.53,577279,50026490
2moM,Untreated,25.87,441.38,11419,989570
2moM,Untreated,280.72,523.52,146964,12735751
2moM,Untreated,20.91,231.83,4847,420068
2moM,Untreated,173.65,718.25,124721,10808221
2moM,Untreated,55.31,360.55,19941,1728105
2moM,Untreated,28.88,324.48,9372,812181
2moM,Untreated,38.99,728.49,28405,2461565
2moM,Untreated,26.14,379.51,9919,859581
2moM,Untreated,87.63,472.92,41442,3591329
2moM,Untreated,59.56,407.26,24255,2101880
2moM,Untreated,92.05,417.57,38437,3330933
2moM,Untreated,21.91,267.41,5860,507805
2moM,Untreated,247.93,679.77,168531,14604765
2moM,Untreated,280.34,569.4,159625,13832935
2moM,Untreated,22.77,257.75,5868,508534
2moM,Untreated,20.52,316.15,6487,562120
2moM,Untreated,333.98,875.2,292293,25329906
2moM,Untreated,63.74,405.5,25848,2239957
2moM,Untreated,24.46,231.97,5675,491765
2moM,Untreated,20.91,261.11,5460,473136
2moM,Untreated,118.2,573.75,67817,5876942
2moM,Untreated,35.75,298.11,10657,923543
2moM,Untreated,174.18,693.96,120871,10474567
2moM,Untreated,166.32,549.41,91377,7918648
2moM,Untreated,46.92,283.43,13298,1152431
2moM,Untreated,39.88,258.95,10327,894934
2moM,Untreated,33.82,317.15,10727,929578
2moM,Untreated,35.66,474.83,16931,1467231
2moM,Untreated,24.19,263.4,6371,552094
2moM,Untreated,136.95,530.94,72713,6301211
2moM,Untreated,9932.05,1309.79,13008871,1127338007
2moM,Untreated,25.11,477.39,11987,1038798
2moM,Untreated,193.9,755.97,146581,12702584
2moM,Untreated,183.75,695.75,127847,11079135
2moM,Untreated,109.65,869.4,95328,8261025
2moM,Untreated,42.32,714.49,30234,2620046
2moM,Untreated,23.7,656.96,15571,1349389
2moM,Untreated,42.23,707.84,29895,2590677
2moM,Untreated,31,682.47,21153,1833107
2moM,Untreated,242.63,603.58,146446,12690888
2moM,Untreated,27.91,829.15,23145,2005718
2moM,Untreated,191.66,1148.69,220156,19078546
2moM,Untreated,126.06,743.41,93712,8120984
2moM,Untreated,28.66,695.17,19926,1726813
2moM,Untreated,133.24,1119.47,149152,12925375
2moM,Untreated,30.07,1064.37,32008,2773756
2moM,Untreated,105.21,1034.89,108876,9435084
2moM,Untreated,29.66,1999.52,59299,5138759
2moM,Untreated,57.03,626.62,35735,3096745
2moM,Untreated,29.93,722.81,21636,1874955
2moM,Untreated,26.98,569.76,15372,1332095
2moM,Untreated,23.67,637.39,15085,1307281
2moM,Untreated,209.25,537.8,112532,9751968
2moM,Untreated,11851.04,705.14,8356669,724181994
2moM,Untreated,432.68,573.66,248212,21509837
2moM,Untreated,43.23,293.62,12692,1099882
2moM,Untreated,36.33,182.75,6639,575287
2moM,Untreated,29.08,302.64,8800,762641
2moM,Untreated,21.16,165.44,3501,303421
2moM,Untreated,93.84,284.41,26689,2312820
2moM,Untreated,51.24,433.59,22215,1925121
2moM,Untreated,20.19,243.22,4912,425641
2moM,Untreated,35.75,300.65,10748,931409
2moM,Untreated,30.68,217.78,6682,579074
2moM,Untreated,35.75,212.44,7595,658149
2moM,Untreated,22.93,231.89,5317,460769
2moM,Untreated,993.07,404.89,402088,34844650
2moM,Untreated,49.93,348.3,17391,1507074
2moM,Untreated,1021.3,609.19,622163,53916110
2moM,Untreated,50.46,187.12,9443,818292
2moM,Untreated,12578.5,2079.45,26156376,2266689927
2moM,Untreated,29.76,1368.12,40716,3528389
2moM,Untreated,63.61,955.25,60759,5265341
2moM,Untreated,63.81,2182.9,139298,12071455
2moM,Untreated,20.81,880.14,18312,1586889
2moM,Untreated,3985.14,1871.55,7458379,646336955
2moM,Untreated,992.86,1237,1228158,106431134
2moM,Untreated,62.13,1361.61,84595,7330928
2moM,Untreated,21.22,1052.36,22332,1935289
2moM,Untreated,12425.04,430.37,5347360,463397839
2moM,Untreated,25.94,256.12,6644,575754
2moM,Untreated,329.99,290.51,95865,8307580
2moM,Untreated,25.66,190.19,4881,422985
2moM,Untreated,31.94,258.32,8251,715032
2moM,Untreated,66.56,181.53,12083,1047085
2moM,Untreated,21.97,287.06,6307,546553
2moM,Untreated,42.44,230.72,9792,848602
2moM,Untreated,74.19,253.28,18790,1628318
2moM,Untreated,43.95,303.89,13357,1157524
2moM,Untreated,595.77,433.34,258168,22372663
2moM,Untreated,120.28,154.83,18623,1613838
2moM,Untreated,33.96,320.65,10889,943657
2moM,Untreated,30.7,124.83,3832,332051
2moM,Untreated,26.66,246.46,6570,569332
2moM,Untreated,28.41,179.32,5095,441494
2moM,Untreated,27.55,191.72,5281,457623
2moM,Untreated,141.29,179.59,25374,2198888
2moM,Untreated,37.84,187.05,7078,613336
2moM,Untreated,26.3,165.61,4355,377413
2moM,Untreated,68.15,311.57,21234,1840100
2moM,Untreated,22.21,129.02,2866,248366
2moM,Untreated,20.64,140.72,2905,251754
2moM,Untreated,29.13,168.83,4917,426138
2moM,Untreated,34.48,172.95,5963,516780
2moM,Untreated,20.85,125.9,2625,227496
2moM,Untreated,31.1,200.23,6227,539629
2moM,Untreated,132.06,254.16,33564,2908645
2moM,Untreated,21.34,552.6,11791,1021756
2moM,Untreated,33.31,203.86,6792,588554
2moM,Untreated,1496.99,605.24,906042,78516867
2moM,Untreated,70.33,309.05,21737,1883671
2moM,Untreated,37.87,332.13,12578,1090033
2moM,Untreated,29.55,327.74,9686,839346
2moM,Untreated,141.98,754.29,107095,9280805
2moM,Untreated,35.36,488.31,17265,1496165
2moM,Untreated,233.39,875.55,204341,17708013
2moM,Untreated,55.08,305.75,16840,1459352
2moM,Untreated,32.91,281.53,9265,802908
2moM,Untreated,54.72,404.47,22132,1917975
2moM,Untreated,42.53,367.88,15648,1356012
2moM,Untreated,328.79,760.63,250091,21672637
2moM,Untreated,568.99,685.62,390108,33806467
2moM,Untreated,22.08,384.14,8480,734867
2moM,Untreated,21.33,336.32,7172,621511
2moM,Untreated,5207.07,779.01,4056361,351520850
2moM,Untreated,142.17,482.24,68558,5941217
2moM,Untreated,22.78,258.63,5891,510530
2moM,Untreated,32.01,299.99,9603,832184
2moM,Untreated,45.97,376.24,17297,1498919
2moM,Untreated,125.09,496.61,62119,5383216
2moM,Untreated,29.11,420.05,12229,1059780
2moM,Untreated,26.78,844.18,22610,1959344
2moM,Untreated,26.81,727.41,19499,1689773
2moM,Untreated,20.69,371.16,7679,665497
2moM,Untreated,68.01,631.41,42944,3721502
2moM,Untreated,20.52,599.06,12291,1065130
2moM,Untreated,50.08,458.83,22979,1991338
2moM,Untreated,23.79,250.1,5951,515699
2moM,Untreated,79.51,341.44,27146,2352485
2moM,Untreated,116.62,327.42,38183,3308885
2moM,Untreated,25.08,401.07,10057,871525
2moM,Untreated,51.45,243.5,12529,1085753
3moF,Untreated,4882.63,1558.46,7609375,659422159
3moF,Untreated,178.53,849.82,151716,13147623
3moF,Untreated,30.97,528.88,16380,1419511
3moF,Untreated,39.62,605.06,23969,2077154
3moF,Untreated,83.51,951.35,79449,6884946
3moF,Untreated,98.11,670.48,65780,5700427
3moF,Untreated,69.92,796.57,55694,4826439
3moF,Untreated,73.08,847.65,61946,5368176
3moF,Untreated,21.64,451.03,9759,845673
3moF,Untreated,30.74,649.46,19965,1730170
3moF,Untreated,24.88,1063.62,26462,2293166
3moF,Untreated,21.46,840.96,18050,1564178
3moF,Untreated,482.11,1018.38,490969,42546949
3moF,Untreated,51.26,790.34,40512,3510709
3moF,Untreated,31.88,683.8,21802,1889328
3moF,Untreated,35.37,1568.83,55487,4808475
3moF,Untreated,39.25,990.72,38882,3369447
3moF,Untreated,85.01,753.37,64045,5550063
3moF,Untreated,32.51,715.21,23249,2014734
3moF,Untreated,27.67,773.04,21391,1853756
3moF,Untreated,723.06,1138.63,823304,71346802
3moF,Untreated,81.5,772.02,62922,5452758
3moF,Untreated,38.65,755.09,29181,2528805
3moF,Untreated,20.79,712.64,14819,1284170
3moF,Untreated,44.72,760.15,33991,2945597
3moF,Untreated,40.13,482.81,19377,1679207
3moF,Untreated,137.67,285.88,39356,3410585
3moF,Untreated,6946.25,427.77,2971381,257497413
3moF,Untreated,162.43,438.73,71262,6175508
3moF,Untreated,20.6,321.5,6622,573882
3moF,Untreated,1112.54,370.7,412420,35740000
3moF,Untreated,29.5,290.38,8565,742208
3moF,Untreated,24.51,186.79,4578,396742
3moF,Untreated,20.29,207.34,4206,364508
3moF,Untreated,133,568.84,75658,6556452
3moF,Untreated,297.72,348.53,103764,8992131
3moF,Untreated,92.48,365.05,33759,2925528
3moF,Untreated,195.83,239.1,46821,4057478
3moF,Untreated,37.99,184.29,7001,606689
3moF,Untreated,197.73,314.48,62181,5388560
3moF,Untreated,161.26,356.89,57554,4987545
3moF,Untreated,23.32,198.78,4636,401735
3moF,Untreated,26.29,141.21,3712,321668
3moF,Untreated,55.99,136.3,7632,661346
3moF,Untreated,148.25,463.05,68646,5948820
3moF,Untreated,38.67,196.57,7601,658703
3moF,Untreated,1564.25,406.72,636220,55134259
3moF,Untreated,29.48,153.02,4512,390971
3moF,Untreated,98.06,338.86,33229,2879634
3moF,Untreated,28.96,161.59,4680,405584
3moF,Untreated,100.76,283.59,28575,2476325
3moF,Untreated,126.3,308.94,39019,3381321
3moF,Untreated,26.01,135.22,3517,304774
3moF,Untreated,198.81,296.4,58928,5106619
3moF,Untreated,25.73,216.72,5577,483289
3moF,Untreated,22.74,330.42,7515,651258
3moF,Untreated,23.11,239.29,5531,479288
3moF,Untreated,46.99,970.87,45620,3953377
3moF,Untreated,27.83,1116.07,31064,2691958
3moF,Untreated,230.12,1464.6,337034,29207096
3moF,Untreated,41.15,1417.98,58349,5056513
3moF,Untreated,55.55,1256.24,69785,6047524
3moF,Untreated,31.5,943.19,29713,2574899
3moF,Untreated,38.38,1213.27,46566,4035350
3moF,Untreated,41.46,1177.68,48828,4231398
3moF,Untreated,36.5,1337.16,48806,4229447
3moF,Untreated,32.65,960.41,31353,2717012
3moF,Untreated,7104.44,1708.46,12137651,1051838832
3moF,Untreated,55.46,708.22,39277,3403688
3moF,Untreated,71.06,1184.14,84145,7291934
3moF,Untreated,29.68,1107.94,32883,2849625
3moF,Untreated,73.66,887.44,65366,5664528
3moF,Untreated,102.15,672.06,68649,5949097
3moF,Untreated,272.34,1135.38,309212,26796022
3moF,Untreated,27.38,692.69,18968,1643748
3moF,Untreated,54.94,663.7,36463,3159887
3moF,Untreated,79.67,350.04,27887,2416663
3moF,Untreated,22.48,323.16,7264,629505
3moF,Untreated,924.01,1201.69,1110376,96224266
3moF,Untreated,28.7,773.44,22197,1923551
3moF,Untreated,26.84,3317.61,89047,7716763
3moF,Untreated,29.14,306.61,8934,774201
3moF,Untreated,125.99,481.23,60629,5254026
3moF,Untreated,463.17,1888.29,874602,75792281
3moF,Untreated,118.57,403.8,47877,4149008
3moF,Untreated,36.12,509.62,18407,1595100
3moF,Untreated,31.9,964,30747,2664507
3moF,Untreated,23.48,782.25,18369,1591869
3moF,Untreated,30.43,353.58,10759,932383
3moF,Untreated,58.75,210.46,12364,1071445
3moF,Untreated,41.83,211.37,8842,766198
3moF,Untreated,359.14,443.35,159227,13798463
3moF,Untreated,1768.51,472.73,836033,72449917
3moF,Untreated,644.89,429.44,276941,23999514
3moF,Untreated,48.4,252.01,12196,1056918
3moF,Untreated,35.81,196.97,7053,611206
3moF,Untreated,27.83,205.03,5707,494539
3moF,Untreated,78.83,221.79,17483,1515077
3moF,Untreated,20.85,189.36,3948,342168
3moF,Untreated,37.07,201.56,7471,647418
3moF,Untreated,26.67,226.79,6048,524103
3moF,Untreated,99.72,240.85,24019,2081439
3moF,Untreated,20.77,189.51,3936,341112
3moF,Untreated,191.72,427.16,81893,7096778
3moF,Untreated,193.48,478.22,92527,8018356
3moF,Untreated,25.46,288.76,7351,636995
3moF,Untreated,44.47,208.85,9288,804903
3moF,Untreated,68.48,390.74,26756,2318640
3moF,Untreated,74.53,323.29,24096,2088100
3moF,Untreated,87.37,203.13,17746,1537863
3moF,Untreated,48.15,360.99,17383,1506400
3moF,Untreated,23.41,208.77,4888,423596
3moF,Untreated,144.26,568.34,81985,7104794
3moF,Untreated,20.6,190.1,3916,339329
3moF,Untreated,28.3,182.16,5154,446650
3moF,Untreated,25.33,212.21,5375,465796
3moF,Untreated,30.95,201.08,6223,539306
3moF,Untreated,24.73,194.3,4805,416384
3moF,Untreated,31.7,200.37,6351,550406
3moF,Untreated,420.09,499.1,209669,18169734
3moF,Untreated,20.81,187.12,3893,337370
3moF,Untreated,81.93,301.69,24717,2141993
3moF,Untreated,38.46,215.38,8284,717869
3moF,Untreated,240.47,334.82,80513,6977217
3moF,Untreated,21.89,187.15,4097,355026
3moF,Untreated,52.3,255.21,13347,1156606
3moF,Untreated,53.83,223.61,12037,1043140
3moF,Untreated,63.98,448.58,28698,2486938
3moF,Untreated,42.8,183.81,7867,681760
3moF,Untreated,70.14,326.91,22929,1986971
3moF,Untreated,218.49,489.99,107057,9277506
3moF,Untreated,61.09,236.11,14424,1249983
3moF,Untreated,54.88,195.93,10753,931859
3moF,Untreated,98.03,299.46,29356,2543948
3moF,Untreated,202.91,484.51,98312,8519597
3moF,Untreated,31.39,236.79,7432,644065
3moF,Untreated,22.47,196.42,4413,382436
3moF,Untreated,84.82,434.6,36860,3194271
3moF,Untreated,36.67,340.65,12492,1082579
3moF,Untreated,38.39,189.04,7258,628932
3moF,Untreated,371.25,517.95,192286,16663322
3moF,Untreated,381.33,360.12,137326,11900587
3moF,Untreated,87.38,367.3,32093,2781171
3moF,Untreated,30.85,378.78,11684,1012484
3moF,Untreated,123.83,400.75,49625,4300485
3moF,Untreated,39.73,180.09,7155,620065
3moF,Untreated,44.79,266.16,11920,1032949
3moF,Untreated,39.42,575.81,22698,1966973
3moF,Untreated,34.84,809.2,28191,2442972
3moF,Untreated,131.69,704.36,92756,8038127
3moF,Untreated,115.87,803.3,93077,8065966
3moF,Untreated,144.31,639.33,92263,7995414
3moF,Untreated,45.2,482.69,21818,1890712
3moF,Untreated,1413.7,798.68,1129087,97845707
3moF,Untreated,27.01,552.96,14938,1294473
3moF,Untreated,47.35,679.3,32162,2787147
3moF,Untreated,162.65,558.41,90825,7870805
3moF,Untreated,190.26,1044.6,198749,17223395
3moF,Untreated,1114.34,720.25,802609,69553435
3moF,Untreated,99.53,718.78,71538,6199460
3moF,Untreated,40.78,395.17,16115,1396524
3moF,Untreated,57.66,543.57,31344,2716223
3moF,Untreated,79.36,531.2,42154,3653045
3moF,Untreated,24.88,392.73,9771,846733
3moF,Untreated,107.23,784.71,84140,7291510
11moM,Untreated,80.62,851.14,68614,5946069
11moM,Untreated,22.41,549.03,12304,1066212
11moM,Untreated,357.49,883.07,315692,27357597
11moM,Untreated,93.2,867.37,80843,7005761
11moM,Untreated,86.66,897.73,77799,6741961
11moM,Untreated,65.3,1033.32,67477,5847528
11moM,Untreated,343.11,842.46,289059,25049638
11moM,Untreated,83.95,1114.64,93573,8108990
11moM,Untreated,23.77,588.7,13994,1212714
11moM,Untreated,58.71,780.6,45831,3971670
11moM,Untreated,79.96,810.53,64807,5616128
11moM,Untreated,134.05,873.93,117153,10152417
11moM,Untreated,70.17,738.84,51846,4492904
11moM,Untreated,69.29,823.78,57083,4946779
11moM,Untreated,77.93,830.23,64696,5606511
11moM,Untreated,26.71,531.29,14193,1229937
11moM,Untreated,111.32,807.78,89923,7792666
11moM,Untreated,73.97,863.09,63841,5532398
11moM,Untreated,49.67,840.41,41740,3617117
11moM,Untreated,43.44,911.24,39579,3429887
11moM,Untreated,238.99,729.94,174451,15117760
11moM,Untreated,49.68,543.6,27005,2340205
11moM,Untreated,78.82,773.78,60985,5284917
11moM,Untreated,29.03,568.02,16491,1429132
11moM,Untreated,104.8,622.1,65197,5649910
11moM,Untreated,114.82,700.11,80385,6966083
11moM,Untreated,128.87,680.26,87667,7597139
11moM,Untreated,95.06,713.72,67847,5879606
11moM,Untreated,311.23,913.74,284383,24644409
11moM,Untreated,169.58,773.74,131214,11370935
11moM,Untreated,194.14,1225.86,237989,20623896
11moM,Untreated,32.32,406.15,13127,1137615
11moM,Untreated,126.39,796.22,100636,8721035
11moM,Untreated,34.16,449.04,15338,1329169
11moM,Untreated,274.69,749.77,205951,17847557
11moM,Untreated,36.72,558.66,20513,1777651
11moM,Untreated,75.64,678.13,51295,4445171
11moM,Untreated,32.97,487.82,16083,1393714
11moM,Untreated,152.23,685.57,104363,9043999
11moM,Untreated,44.46,591.64,26305,2279605
11moM,Untreated,42.25,617.23,26075,2259669
11moM,Untreated,77.82,528.2,41106,3562198
11moM,Untreated,22.34,488.99,10924,946685
11moM,Untreated,167.82,799.56,134181,11628050
11moM,Untreated,49.12,1069.79,52552,4554082
11moM,Untreated,228.89,822.46,188250,16313552
11moM,Untreated,21.26,641.3,13631,1181272
11moM,Untreated,23.58,879.61,20737,1797045
11moM,Untreated,76.55,989.79,75771,6566276
11moM,Untreated,169.95,628.51,106818,9256727
11moM,Untreated,57.76,503.2,29063,2518538
11moM,Untreated,81.85,697.95,57126,4950521
11moM,Untreated,28.38,428.03,12146,1052535
11moM,Untreated,22.35,450,10058,871647
11moM,Untreated,60.2,1098.55,66134,5731144
11moM,Untreated,71.33,767.99,54778,4746973
11moM,Untreated,66.24,924.48,61234,5306524
11moM,Untreated,123.08,885.88,109033,9448739
11moM,Untreated,75.32,797.93,60098,5208061
11moM,Untreated,71.31,826.99,58976,5110793
11moM,Untreated,62.33,999.84,62315,5400134
11moM,Untreated,68.74,1251.75,86046,7456688
11moM,Untreated,20.71,652.39,13513,1171041
11moM,Untreated,104.86,867.13,90926,7879582
11moM,Untreated,116.32,1088.74,126640,10974544
11moM,Untreated,40.82,1257.04,51306,4446150
11moM,Untreated,192.04,816.27,156756,13584331
11moM,Untreated,1843.29,840.95,1550121,134332198
11moM,Untreated,27.44,533.64,14644,1268998
11moM,Untreated,62.76,971.42,60970,5283572
11moM,Untreated,435.04,1109.85,482828,41841455
11moM,Untreated,45.62,990.31,45174,3914709
11moM,Untreated,45.78,943.66,43198,3743503
11moM,Untreated,47.83,1173.32,56121,4863423
11moM,Untreated,131.18,889.99,116749,10117349
11moM,Untreated,20.61,668.03,13768,1193108
11moM,Untreated,145.12,987.03,143238,12412849
11moM,Untreated,101.89,711.02,72448,6278281
